Symbol,CIK
CEPI,None
CEPO,0002027708
CEPT,0002034269
CERO,0001870404
CERS,0001020214
CERT,0001827090
CETX,0001435064
CETY,0001329606
CEVA,0001173489
CFA,None
CFBK,0001070680
CFFI,0000913341
CFFN,0001490906
CFLT,0001699838
CFO,None
CFSB,0001879103
CG,0001527166
CGABL,0001527166
CGBD,0001544206
CGBDL,0001544206
CGC,0001737927
CGCT,0002049662
CGEM,0001789972
CGEN,0001119774
CGNT,0001824814
CGNX,0000851205
CGO,0001285650
CGON,0001991792
CGTL,0001967822
CGTX,0001455365
CHA,0002013649
CHAC,0002054174
CHCI,0001299969
CHCO,0000726854
CHDN,0000020212
CHEF,0001517175
CHEK,0001610590
CHGX,None
CHI,0001171471
CHMG,0000763563
CHPG,0002024460
CHPS,None
CHRD,0001486159
CHRS,0001512762
CHSCL,0000823277
CHSCM,0000823277
CHSCN,0000823277
CHSCO,0000823277
CHSN,0001825349
CHY,0001222719
CHYM,0001795586
CIGI,0000913353
CIGL,0002001794
CIIT,0001557798
CIL,None
CINF,0000020286
CING,0001862150
CISO,0001777319
CISS,0001951067
CIVB,0000944745
CJET,0001957413
CJMB,0002032545
CLBK,0001723596
CLBT,0001854587
CLDX,0000744218
CLFD,0000796505
CLGN,0001631487
CLIK,0002020027
CLLS,0001627281
CLMB,0000945983
CLMT,0002013745
CLNE,0001368265
CLNN,0001822791
CLOA,None
CLOD,None
CLOV,0001801170
CLPS,0001724542
CLPT,0001285550
CLRB,0001279704
CLRO,0000840715
CLSD,0001539029
CLSK,0000827876
CLSM,None
CLST,0001849867
CLWT,0001026662
CLYM,0001768446
CMBM,0001738177
CMCO,0001005229
CMCSA,0001166691
CMCT,0000908311
CME,0001156375
CMMB,0001534248
CMND,0001892500
CMPO,0001823144
CMPS,0001816590
CMPX,0001738021
CMTL,0000023197
CNCK,0001913847
CNDT,0001677703
CNET,0001376321
CNEY,0001780785
CNFRZ,0001502292
CNOB,0000712771
CNTA,0001847903
CNTB,0001835268
CNTX,0001842952
CNTY,0000911147
CNVS,0001173204
CNXC,0001803599
CNXN,0001050377
COCH,0001840877
COCO,0001482981
CODA,0001334325
CODX,0001692415
COFS,0000803164
COGT,0001622229
COIG,None
COIN,0001679788
COKE,0000317540
COLA,0002028201
COLB,0000887343
COLL,0001267565
COLM,0001050797
COMM,0001517228
COMT,None
CONI,None
CONL,None
COO,0000711404
COOT,0001959994
COPJ,None
CORO,None
CORT,0001088856
CORZ,0001839341
CORZZ,0001839341
COSM,0001474167
COST,0000909832
COWG,None
COWS,None
COYA,0001835022
CPB,0000016732
CPBI,0001979332
CPHC,0001672909
CPIX,0001087294
CPLS,None
CPRT,0000900075
CPRX,0001369568
CPSH,0000814676
CPSS,0000889609
CPZ,0001717457
CRAI,0001053706
CRCT,0001828962
CRDF,0001213037
CRDL,0001702123
CRDO,0001807794
CRE,0002003977
CREG,0000721693
CRESY,0001034957
CREV,0001960208
CREX,0001356093
CRGO,0001927719
CRGX,0001966494
CRIS,0001108205
CRMD,0001410098
CRMG,None
CRML,0001951089
CRMT,0000799850
CRNC,0001768267
CRNT,0001119769
CRNX,0001658247
CRON,0001656472
CROX,0001334036
CRTO,0001576427
CRUS,0000772406
CRVL,0000874866
CRVO,0001053691
CRVS,0001626971
CRWD,0001535527
CRWL,None
CRWS,0000025895
CRWV,0001769628
CSAI,0001709628
CSB,None
CSCI,0001113423
CSCL,None
CSCO,0000858877
CSCS,None
CSGS,0001005757
CSPI,0000356037
CSTE,0001504379
CSTL,0001447362
CSWC,0000017313
CSWCZ,0000017313
CSX,0000277948
CTAS,0000723254
CTBI,0000350852
CTEC,None
CTKB,0001831915
CTMX,0001501989
CTNM,0001855175
CTNT,0001951667
CTRM,0001720161
CTRN,0001318484
CTSH,0001058290
CTSO,0001175151
CUB,0002015955
CUE,0001645460
CURI,0001776909
CV,0001378325
CVAC,0001809122
CVBF,0000354647
CVCO,0000278166
CVGI,0001290900
CVKD,0001937993
CVLT,0001169561
CVNX,None
CVRX,0001235912
CVV,0000766792
CWBC,0001127371
CWCO,0000928340
CWD,0001627282
CWST,0000911177
CXAI,0001820875
CXDO,0001075736
CXSE,None
CYCC,0001130166
CYCN,0001755237
CYN,0001874097
CYRX,0001124524
CYTK,0001061983
CZFS,0000739421
CZNC,0000810958
CZWI,0001367859
DAIC,0002033770
DAIO,0000351998
DAKT,0000915779
DALI,None
DALN,0001413898
DARE,0001401914
DASH,0001792789
DATS,0001648960
DAVE,0001841408
DAWN,0001845337
DAX,None
DBVT,0001613780
DBX,0001467623
DCBO,0001829959
DCGO,0001822359
DCOM,0000846617
DCOMG,0000846617
DCTH,0000872912
DDI,0001799567
DDIV,None
DDOG,0001561550
DECO,None
DEFT,0001888274
DEMZ,None
DENN,0000852772
DERM,0001867066
DEVS,0001854480
DFDV,0001805526
DFGX,None
DFLI,0001847986
DFSC,0001889823
DGCB,None
DGICA,0000800457
DGICB,0000800457
DGII,0000854775
DGLY,0001342958
DGNX,0002010499
DGRE,None
DGRS,None
DGXX,0001854368
DH,0001861795
DHAI,0001883788
DHC,0001075415
DHCNI,0001075415
DHCNL,0001075415
DHIL,0000909108
DIBS,0001600641
DIOD,0000029002
DIVD,None
DJCO,0000783412
DJT,0001849635
DKNG,0001883685
DLHC,0000785557
DLLL,None
DLO,0001846832
DLPN,0001282224
DLTH,0001649744
DLXY,0002025218
DMAA,0002028614
DMAC,0001401040
DMAT,None
DMRC,0001438231
DMXF,None
DNLI,0001714899
DNTH,0001690585
DNUT,0001857154
DOGZ,0001707303
DOMH,0000012239
DOMO,0001505952
DOOO,0001748797
DORM,0000868780
DOX,0001062579
DPRO,0001786286
DPZ,0001286681
DRCT,0001880613
DRDB,0002032528
DRIO,0001533998
DRIV,None
DRMA,0001853816
DRRX,0001082038
DRS,0001833756
DRTS,0001871321
DRUG,0001827401
DRVN,0001804745
DSGN,0001807120
DSGX,0001050140
DSWL,0000946936
DSY,0001999297
DTCK,0001949478
DTI,0001884516
DTIL,0001357874
DTSS,0001631282
DTST,0001419951
DUKH,0001326160
DUKX,None
DUO,0001750593
DUOL,0001562088
DUOT,0001396536
DVAL,None
DVAX,0001029142
DVIN,None
DVLT,0001682149
DVOL,None
DVRE,None
DVUT,None
DVXB,None
DVXC,None
DVXE,None
DVXF,None
DVXK,None
DVXV,None
DVXY,None
DVY,None
DWAS,None
DWSH,None
DWSN,0000799165
DWTX,0001818844
DWUS,None
DXCM,0001093557
DXLG,0000813298
DXPE,0001020710
DXST,0001958133
DYAI,0001213809
DYFI,None
DYN,0001818794
DYNX,0002028699
DYTA,None
EA,0000712515
EBAY,0001065088
EBC,0001810546
EBI,None
EBIZ,None
EBMT,0001478454
EBON,0001799290
ECBK,0001914605
ECDA,0001922858
ECPG,0001084961
ECX,0001861974
EDBL,0001809750
EDHL,0002024876
EDIT,0001650664
EDRY,0001731388
EDSA,0001540159
EDTK,0001782309
EDUC,0000031667
EEFT,0001029199
EEMA,None
EFAS,None
EFOI,0000924168
EFRA,None
EFSC,0001025835
EFSI,0000880641
EGAN,0001066194
EGBN,0001050441
EGHA,0002052547
EGHT,0001023731
EH,0001759783
EHGO,0001879754
EHLD,0002032779
EHLS,None
EHTH,0001333493
EJH,0001769768
EKG,None
EKSO,0001549084
ELAB,0001840563
ELBM,0001907184
ELDN,0001404281
ELFY,None
ELIL,None
ELIS,None
ELSE,0000351789
ELTK,0001024672
ELTX,0001601485
ELUT,0001708527
ELVA,0001844450
ELVN,0001672619
ELWS,0001944399
EM,0001834253
EMB,None
EMBC,0001872789
EMCB,None
EMCG,0001869601
EMIF,None
EML,0000031107
EMPG,0002005569
EMXC,None
EMXF,None
ENGN,0001980845
ENGS,0001971828
ENLT,0001922641
ENLV,0001596812
ENPH,0001463101
ENSC,0001716947
ENSG,0001125376
ENTA,0001177648
ENTG,0001101302
ENTO,0001604191
ENTX,0001638097
ENVB,0000890821
ENVX,0001828318
ENZL,None
EOLS,0001570562
EOSE,0001805077
EPIX,0001633932
EPRX,0001581178
EPSM,0001883437
EPSN,0001726126
EPWK,0001900720
EQIX,0001101239
ERAS,0001761918
ERET,None
ERIC,0000717826
ERIE,0000922621
ERII,0001421517
ERNA,0000748592
ERNZ,None
ESCA,0000033488
ESEA,0001341170
ESGD,None
ESGE,None
ESGL,0001957538
ESHA,0001918661
ESLA,0001844417
ESLT,0001027664
ESMV,None
ESN,None
ESOA,0001357971
ESPO,None
ESSA,0001382230
ESTA,0001688757
ETEC,None
ETHA,0002000638
ETON,0001710340
ETSY,0001370637
EUDA,0001847846
EUFN,None
EURK,0002000410
EVAX,0001828253
EVCM,0001853145
EVGN,0001574565
EVGO,0001821159
EVLV,0001805385
EVMT,None
EVO,0001412558
EVOK,0001403708
EVRG,0001711269
EVSD,None
EVTV,0001563568
EVYM,None
EWBC,0001069157
EWCZ,0001856236
EWJV,None
EWTX,0001710072
EWZS,None
EXAS,0001124140
EXC,0001109357
EXE,0000895126
EXEEL,0000895126
EXEEZ,0000895126
EXEL,0000939767
EXFY,0001476840
EXLS,0001297989
EXOZ,0002010788
EXPE,0001324424
EXPI,0001495932
EXPO,0000851520
EXUS,None
EYE,0001710155
EYEG,None
EYPT,0001314102
EZGO,0001806904
FA,0001210677
FAAS,0001844981
FAB,None
FACT,0002028935
FAD,None
FALN,None
FAMI,0001701261
FANG,0001539838
FARM,0000034563
FAST,0000815556
FAT,0001705012
FATBB,0001705012
FATE,0001434316
FATN,0001993400
FBGL,0001938534
FBIO,0001429260
FBIZ,0001521951
FBL,None
FBLA,0002013639
FBLG,0001958777
FBNC,0000811589
FBOT,None
FBRX,0001419041
FBYD,0001937987
FCA,None
FCAL,None
FCBC,0000859070
FCCO,0000932781
FCEF,None
FCEL,0000886128
FCFS,0000840489
FCNCA,0000798941
FCNCO,0000798941
FCTE,None
FCUV,0001590418
FCVT,None
FDBC,0001098151
FDCF,None
FDFF,None
FDIF,None
FDIG,None
FDIV,None
FDMT,0001650648
FDNI,None
FDSB,0002012726
FDT,None
FDTS,None
FDTX,None
FDUS,0001513363
FEAM,0001888654
FEAT,None
FEBO,0001957001
FEIM,0000039020
FELE,0000038725
FEM,None
FEMB,None
FEMS,None
FEMY,0001339005
FENC,0001211583
FEPI,None
FERA,0002025401
FEUZ,None
FEX,None
FFAI,0001805521
FFBC,0000708955
FFIC,0000923139
FFIN,0000036029
FFIV,0001048695
FFUT,None
FGBI,0001408534
FGEN,0000921299
FGF,0001591890
FGI,0001864943
FGL,0001989930
FGM,None
FGMC,0001906364
FGSI,None
FHB,0000036377
FHTX,0001822462
FIBK,0000860413
FICS,None
FID,None
FIEE,0001467761
FINE,None
FINX,None
FISI,0000862831
FITB,0000035527
FITBI,0000035527
FITBO,0000035527
FIVE,0001177609
FIVN,0001288847
FIVY,None
FIXD,None
FIZZ,0000069891
FKWL,0000722572
FLD,0001889123
FLDB,None
FLEX,0000866374
FLGC,0001790169
FLGT,0001674930
FLL,0000891482
FLN,None
FLNC,0001868941
FLNT,0001460329
FLUX,0001083743
FLWS,0001084869
FLX,0001858724
FLXS,0000037472
FLYE,0001975940
FMAO,0000792966
FMB,None
FMBH,0000700565
FMED,None
FMET,None
FMFC,0002024656
FMHI,None
FMNB,0000709337
FMST,0001935418
FMTM,None
FMUB,None
FMUN,None
FNK,None
FNKO,0001704711
FNLC,0000765207
FNWB,0001556727
FNWD,0000919864
FNX,None
FNY,None
FOLD,0001178879
FORA,0001829280
FORD,0000038264
FORL,0001936255
FORM,0001039399
FORTY,0001045986
FOSL,0000883569
FOSLL,0000883569
FOX,0001754301
FOXA,0001754301
FOXF,0001424929
FOXX,0002013807
FPA,None
FPAY,0001397047
FPXE,None
FPXI,None
FRAF,0000723646
FRBA,None
FRD,0000039092
FRDD,None
FRGT,0001687542
FRHC,0000924805
FRME,0000712534
FROG,0001800667
FRPH,0000844059
FRPT,0001611647
FRSH,0001544522
FRST,0001325670
FRSX,0001691221
FSBC,0001275168
FSCS,None
FSEA,0001943802
FSFG,0001435508
FSGS,None
FSUN,0001709442
FSV,0001637810
FSZ,None
FTA,None
FTAG,None
FTAI,0001590364
FTAIM,0001590364
FTAIN,0001590364
FTC,None
FTCI,0001828161
FTCS,None
FTDS,None
FTEK,0000846913
FTEL,0001928581
FTFT,0001066923
FTGC,None
FTGS,None
FTHI,None
FTHM,0001753162
FTLF,0001374328
FTNT,0001262039
FTQI,None
FTRE,0001965040
FTRI,None
FTRK,0002027262
FTSL,None
FTSM,None
FTXG,None
FTXH,None
FTXL,None
FTXN,None
FTXO,None
FULC,0001680581
FULT,0000700564
FUNC,0000763907
FUND,0000825202
FUSB,0000717806
FV,None
FVC,None
FVCB,0001675644
FVN,0002010653
FWONA,0001560385
FWONK,0001560385
FWRD,0000912728
FWRG,0001789940
FXNC,0000719402
FYC,None
FYT,None
FYX,None
GABC,0000714395
GAIA,0001089872
GAIN,0001321741
GAINI,0001321741
GAINL,0001321741
GAINN,0001321741
GAINZ,0001321741
GALT,0001133416
GAMB,0001839799
GAME,0001714562
GANX,0001819411
GASS,0001328919
GAUZ,0001781446
GBDC,0001476765
GBFH,0001791145
GBIO,0001733294
GBUG,0000312070
GCBC,0001070524
GCL,0002002045
GCMG,0001819796
GCT,0001857816
GCTK,0001506983
GDC,0001641398
GDEN,0001071255
GDEV,0001848739
GDHG,0001928340
GDRX,0001809519
GDS,0001526125
GDTC,0001873093
GDYN,0001743725
GECC,0001675033
GECCH,0001675033
GECCI,0001675033
GECCO,0001675033
GECCZ,0001675033
GEG,0001831096
GEGGL,0001831096
GEHC,0001932393
GELS,0001920092
GEME,None
GEN,0000849399
GENK,0001891856
GEOS,0001001115
GERN,0000886744
GEVO,0001392380
GFAI,0001804469
GFGF,None
GFS,0001709048
GGAL,0001114700
GGLL,None
GGLS,None
GH,0001576280
GHRS,0001855129
GIBO,0002034520
GIFI,0001031623
GIFT,0001760233
GIG,0002023730
GIGM,0001105101
GIII,0000821002
GILD,0000882095
GILT,0000897322
GIND,None
GINX,None
GITS,0001911545
GLAD,0001143513
GLADZ,0001143513
GLBE,0001835963
GLBS,0001499780
GLBZ,0000890066
GLDD,0001372020
GLDI,0001053092
GLDY,None
GLE,0001908705
GLIBA,0002057463
GLIBK,0002057463
GLMD,0001595353
GLNG,0001207179
GLPG,0001421876
GLPI,0001575965
GLRE,0001385613
GLSI,0001799788
GLTO,0001800315
GLUE,0001826457
GLXG,0001905920
GLXY,0001859392
GMAB,0001434265
GMGI,0001437925
GMHS,0002000530
GMM,0001913749
GNFT,0001757064
GNLN,0001743745
GNLX,0001231457
GNMA,None
GNOM,None
GNPX,0001595248
GNSS,0000924383
GNTA,0001838716
GNTX,0000355811
GO,0001771515
GOCO,0001808220
GOGL,0001029145
GOGO,0001537054
GOOD,0001234006
GOODN,0001234006
GOODO,0001234006
GOOG,0001652044
GOOGL,0001652044
GORV,0001721741
GOSS,0001728117
GOVI,None
GOVX,0000832489
GPAT,0001834526
GPIX,None
GPRE,0001309402
GPRF,None
GPRO,0001500435
GRAB,0001855612
GRAL,0001699031
GRAN,0002027722
GRCE,0001444192
GREE,0001844971
GREEL,0001844971
GRFS,0001438569
GRI,0001824293
GRID,None
GRIN,None
GRPN,0001490281
GRVY,0001313310
GRWG,0001604868
GSAT,0001366868
GSBC,0000854560
GSHD,0001726978
GSIB,None
GSIT,0001126741
GSM,0001639877
GSRT,0002029023
GSUN,0001826376
GT,0000042582
GTEC,0001735041
GTEN,0001986817
GTI,0001879373
GTIM,0000825324
GTLB,0001653482
GTM,0001794515
GTX,0001735707
GURE,0000885462
GUTS,0001572616
GV,0001892274
GVH,0001978527
GWAV,0001589149
GWRS,0001434728
GXAI,0001895618
GYRE,0001124105
GYRO,0001589061
HAFC,0001109242
HAIN,0000910406
HALO,0001159036
HAO,0001954594
HAS,0000046080
HBAN,0000049196
HBANL,0000049196
HBANM,0000049196
HBDC,None
